id,province,city_id,city,district,subdistrict
178,Jawa Barat,54,Kabupaten Bekasi,Serang Baru,Sukasari
179,Banten,457,Kota Tangerang Selatan,Setu,Burangkeng
180,Banten,457,Kota Tangerang Selatan,Setu,Cibening
181,Banten,457,Kota Tangerang Selatan,Setu,Cijengkol
182,Banten,457,Kota Tangerang Selatan,Setu,Cikarageman
183,Banten,457,Kota Tangerang Selatan,Setu,Ciledug
184,Banten,457,Kota Tangerang Selatan,Setu,Kertarahayu
185,Banten,457,Kota Tangerang Selatan,Setu,Lubangbuaya
186,Banten,457,Kota Tangerang Selatan,Setu,Muktijaya
187,Banten,457,Kota Tangerang Selatan,Setu,Ragamanunggal
188,Banten,457,Kota Tangerang Selatan,Setu,Taman Rahayu
189,Banten,457,Kota Tangerang Selatan,Setu,Taman Sari
190,Jawa Barat,54,Kabupaten Bekasi,Sukakarya,Sukaindah
191,Jawa Barat,54,Kabupaten Bekasi,Sukakarya,Sukajadi
192,Jawa Barat,54,Kabupaten Bekasi,Sukakarya,Sukakarsa
193,Jawa Barat,54,Kabupaten Bekasi,Sukakarya,Sukakarya
194,Jawa Barat,54,Kabupaten Bekasi,Sukakarya,Sukalaksana
195,Jawa Barat,54,Kabupaten Bekasi,Sukakarya,Sukamakmur
196,Jawa Barat,54,Kabupaten Bekasi,Sukakarya,Sukamurni
197,Jawa Barat,54,Kabupaten Bekasi,Sukatani,Banjarsari
198,Jawa Barat,54,Kabupaten Bekasi,Sukatani,Sukaasih
199,Jawa Barat,54,Kabupaten Bekasi,Sukatani,Sukadarma
200,Jawa Barat,54,Kabupaten Bekasi,Sukatani,Sukahurip
201,Jawa Barat,54,Kabupaten Bekasi,Sukatani,Sukamanah
202,Jawa Barat,54,Kabupaten Bekasi,Sukatani,Sukamulya
203,Jawa Barat,54,Kabupaten Bekasi,Sukatani,Sukarukun
204,Jawa Barat,54,Kabupaten Bekasi,Sukawangi,Sukabudi
205,Jawa Barat,54,Kabupaten Bekasi,Sukawangi,Sukadaya
206,Jawa Barat,54,Kabupaten Bekasi,Sukawangi,Sukakerta
207,Jawa Barat,54,Kabupaten Bekasi,Sukawangi,Sukamekar
208,Jawa Barat,54,Kabupaten Bekasi,Sukawangi,Sukaringin
209,Jawa Barat,54,Kabupaten Bekasi,Sukawangi,Sukatenang
210,Jawa Barat,54,Kabupaten Bekasi,Sukawangi,Sukawangi
211,Jawa Barat,54,Kabupaten Bekasi,Tambelang,Sukabakti
212,Jawa Barat,54,Kabupaten Bekasi,Tambelang,Sukamaju
213,Jawa Barat,54,Kabupaten Bekasi,Tambelang,Sukamantri
214,Jawa Barat,54,Kabupaten Bekasi,Tambelang,Sukarahayu
215,Jawa Barat,54,Kabupaten Bekasi,Tambelang,Sukaraja
216,Jawa Barat,54,Kabupaten Bekasi,Tambelang,Sukarapih
217,Jawa Barat,54,Kabupaten Bekasi,Tambelang,Sukawijaya
218,Jawa Barat,54,Kabupaten Bekasi,Tambun Selatan,Tridaya Sakti
219,Jawa Barat,54,Kabupaten Bekasi,Tambun Selatan,Lambangjaya
220,Jawa Barat,54,Kabupaten Bekasi,Tambun Selatan,Lambangsari
221,Jawa Barat,54,Kabupaten Bekasi,Tambun Selatan,Mangunjaya
222,Jawa Barat,54,Kabupaten Bekasi,Tambun Selatan,Mekarsari
223,Jawa Barat,54,Kabupaten Bekasi,Tambun Selatan,Setiadarma
224,Jawa Barat,54,Kabupaten Bekasi,Tambun Selatan,Setiamekar
225,Jawa Barat,54,Kabupaten Bekasi,Tambun Selatan,Sumberjaya
226,Jawa Barat,54,Kabupaten Bekasi,Tambun Selatan,Tambun
227,Jawa Barat,54,Kabupaten Bekasi,Tambun Selatan,Jatimulya
228,Jawa Barat,54,Kabupaten Bekasi,Tambun Utara,Jejalenjaya
229,Jawa Barat,54,Kabupaten Bekasi,Tambun Utara,Karangsatria
230,Jawa Barat,54,Kabupaten Bekasi,Tambun Utara,Satriajaya
231,Jawa Barat,54,Kabupaten Bekasi,Tambun Utara,Satriamekar
232,Jawa Barat,54,Kabupaten Bekasi,Tambun Utara,Sriamur
233,Jawa Barat,54,Kabupaten Bekasi,Tambun Utara,Srijaya
234,Jawa Barat,54,Kabupaten Bekasi,Tambun Utara,Srimahi
235,Jawa Barat,54,Kabupaten Bekasi,Tambun Utara,Srimukti
236,Jawa Barat,54,Kabupaten Bekasi,Tarumajaya,Pahlawan Setia
237,Jawa Barat,54,Kabupaten Bekasi,Tarumajaya,Pantai Makmur
238,Jawa Barat,54,Kabupaten Bekasi,Tarumajaya,Pusaka Rakyat
239,Jawa Barat,54,Kabupaten Bekasi,Tarumajaya,Samudra Jaya
240,Jawa Barat,54,Kabupaten Bekasi,Tarumajaya,Sagara Makmur
241,Jawa Barat,54,Kabupaten Bekasi,Tarumajaya,Segarajaya
242,Jawa Barat,54,Kabupaten Bekasi,Tarumajaya,Setia Mulya
243,Jawa Barat,79,Kota Bogor,Bogor Barat,Balungbangjaya
244,Jawa Barat,79,Kota Bogor,Bogor Barat,Bubulak
245,Jawa Barat,79,Kota Bogor,Bogor Barat,Cilendek Barat
246,Jawa Barat,79,Kota Bogor,Bogor Barat,Cilendek Timur
247,Jawa Barat,79,Kota Bogor,Bogor Barat,Curug
248,Jawa Barat,79,Kota Bogor,Bogor Barat,Curugmekar
249,Jawa Barat,79,Kota Bogor,Bogor Barat,Gunungbatu
250,Jawa Barat,79,Kota Bogor,Bogor Barat,Loji
251,Jawa Barat,79,Kota Bogor,Bogor Barat,Margajaya
252,Jawa Barat,79,Kota Bogor,Bogor Barat,Menteng
253,Jawa Barat,79,Kota Bogor,Bogor Barat,Pasirjaya
254,Jawa Barat,79,Kota Bogor,Bogor Barat,Pasirkuda
255,Jawa Barat,79,Kota Bogor,Bogor Barat,Pasirmulya
256,Jawa Barat,79,Kota Bogor,Bogor Barat,Semplak
257,Jawa Barat,79,Kota Bogor,Bogor Barat,Sindangbarang
258,Jawa Barat,79,Kota Bogor,Bogor Barat,Situgede
259,Jawa Barat,79,Kota Bogor,Bogor Selatan,Batutulis
260,Jawa Barat,79,Kota Bogor,Bogor Selatan,Bojongkerta
261,Jawa Barat,79,Kota Bogor,Bogor Selatan,Bondongan
262,Jawa Barat,79,Kota Bogor,Bogor Selatan,Cikaret
263,Jawa Barat,79,Kota Bogor,Bogor Selatan,Cipaku
264,Jawa Barat,79,Kota Bogor,Bogor Selatan,Empang
265,Jawa Barat,79,Kota Bogor,Bogor Selatan,Genteng
266,Jawa Barat,79,Kota Bogor,Bogor Selatan,Harjasari
267,Jawa Barat,79,Kota Bogor,Bogor Selatan,Kertamaya
268,Jawa Barat,79,Kota Bogor,Bogor Selatan,Lawanggintung
269,Jawa Barat,79,Kota Bogor,Bogor Selatan,Muarasari
270,Jawa Barat,79,Kota Bogor,Bogor Selatan,Mulyaharja
271,Jawa Barat,79,Kota Bogor,Bogor Selatan,Pakuan
272,Jawa Barat,79,Kota Bogor,Bogor Selatan,Pamoyanan
273,Jawa Barat,79,Kota Bogor,Bogor Selatan,Rancamaya
274,Jawa Barat,79,Kota Bogor,Bogor Selatan,Ranggamekar
275,Jawa Barat,79,Kota Bogor,Bogor Tengah,Babakan
276,Jawa Barat,79,Kota Bogor,Bogor Tengah,Babakanpasar
277,Jawa Barat,79,Kota Bogor,Bogor Tengah,Cibogor
278,Jawa Barat,79,Kota Bogor,Bogor Tengah,Ciwaringin
279,Jawa Barat,79,Kota Bogor,Bogor Tengah,Gudang
280,Jawa Barat,79,Kota Bogor,Bogor Tengah,Kebonkelapa
281,Jawa Barat,79,Kota Bogor,Bogor Tengah,Pabaton
282,Jawa Barat,79,Kota Bogor,Bogor Tengah,Paledang
283,Jawa Barat,79,Kota Bogor,Bogor Tengah,Panaragan
284,Jawa Barat,79,Kota Bogor,Bogor Tengah,Sempur
285,Jawa Barat,79,Kota Bogor,Bogor Tengah,Tegallega
286,Jawa Barat,79,Kota Bogor,Bogor Timur,Baranangsiang
287,Jawa Barat,79,Kota Bogor,Bogor Timur,Katulampa
288,Jawa Barat,79,Kota Bogor,Bogor Timur,Sindangrasa
289,Jawa Barat,79,Kota Bogor,Bogor Timur,Sindangsari
290,Jawa Barat,79,Kota Bogor,Bogor Timur,Sukasari
291,Jawa Barat,79,Kota Bogor,Bogor Timur,Tajur
292,Jawa Barat,79,Kota Bogor,Bogor Utara,Bantarjati
293,Jawa Barat,79,Kota Bogor,Bogor Utara,Cibuluh
294,Jawa Barat,79,Kota Bogor,Bogor Utara,Ciluar
295,Jawa Barat,79,Kota Bogor,Bogor Utara,Cimahpar
296,Jawa Barat,79,Kota Bogor,Bogor Utara,Ciparigi
297,Jawa Barat,79,Kota Bogor,Bogor Utara,Kedunghalang
298,Jawa Barat,79,Kota Bogor,Bogor Utara,Tanahbaru
299,Jawa Barat,79,Kota Bogor,Bogor Utara,Tegalgundil
300,Jawa Barat,79,Kota Bogor,Tanah Sareal,Cibadak
301,Jawa Barat,79,Kota Bogor,Tanah Sareal,Kayumanis
302,Jawa Barat,79,Kota Bogor,Tanah Sareal,Kebonpedes
303,Jawa Barat,79,Kota Bogor,Tanah Sareal,Kedungbadak
304,Jawa Barat,79,Kota Bogor,Tanah Sareal,Kedungjaya
305,Jawa Barat,79,Kota Bogor,Tanah Sareal,Kedungwaringin
306,Jawa Barat,79,Kota Bogor,Tanah Sareal,Kencana
307,Jawa Barat,79,Kota Bogor,Tanah Sareal,Mekarwangi
308,Jawa Barat,79,Kota Bogor,Tanah Sareal,Sukadamai
309,Jawa Barat,79,Kota Bogor,Tanah Sareal,Sukaresmi
310,Jawa Barat,79,Kota Bogor,Tanah Sareal,Tanahsareal
311,Jawa Barat,78,Kabupaten Bogor,Babakan Madang,Babakan Madang
312,Jawa Barat,78,Kabupaten Bogor,Babakan Madang,Bojong Koneng
313,Jawa Barat,78,Kabupaten Bogor,Babakan Madang,Cijayanti
314,Jawa Barat,78,Kabupaten Bogor,Babakan Madang,Cipambuan
315,Jawa Barat,78,Kabupaten Bogor,Babakan Madang,Citaringgul
316,Jawa Barat,78,Kabupaten Bogor,Babakan Madang,Kadumangu
317,Jawa Barat,78,Kabupaten Bogor,Babakan Madang,Karang Tengah
318,Jawa Barat,78,Kabupaten Bogor,Babakan Madang,Sentul
319,Jawa Barat,78,Kabupaten Bogor,Babakan Madang,Sumur Batu
320,Jawa Barat,78,Kabupaten Bogor,Bojonggede,Bojong Baru
321,Jawa Barat,78,Kabupaten Bogor,Bojonggede,Bojonggede
322,Jawa Barat,78,Kabupaten Bogor,Bojonggede,Cimanggis
323,Jawa Barat,78,Kabupaten Bogor,Bojonggede,Kedung Waringin
324,Jawa Barat,78,Kabupaten Bogor,Bojonggede,Ragajaya
325,Jawa Barat,78,Kabupaten Bogor,Bojonggede,Rawa Panjang
326,Jawa Barat,78,Kabupaten Bogor,Bojonggede,Susukan
327,Jawa Barat,78,Kabupaten Bogor,Bojonggede,Waringin Jaya
328,Jawa Barat,78,Kabupaten Bogor,Bojonggede,Pabuaran
329,Jawa Barat,78,Kabupaten Bogor,Caringin,Pasir Buncir
330,Jawa Barat,78,Kabupaten Bogor,Caringin,Caringin
331,Jawa Barat,78,Kabupaten Bogor,Caringin,Ciderum
332,Jawa Barat,78,Kabupaten Bogor,Caringin,Ciherang Pondok
333,Jawa Barat,78,Kabupaten Bogor,Caringin,Cimande
334,Jawa Barat,78,Kabupaten Bogor,Caringin,Cimande Hilir
335,Jawa Barat,78,Kabupaten Bogor,Caringin,Cinagara
336,Jawa Barat,78,Kabupaten Bogor,Caringin,Lemah Duhur
337,Jawa Barat,78,Kabupaten Bogor,Caringin,Muara Jaya
338,Jawa Barat,78,Kabupaten Bogor,Caringin,Pancawati
339,Jawa Barat,78,Kabupaten Bogor,Caringin,Pasir Muncang
340,Jawa Barat,78,Kabupaten Bogor,Caringin,Tangkil
341,Jawa Barat,78,Kabupaten Bogor,Cariu,Babakan Raden
342,Jawa Barat,78,Kabupaten Bogor,Cariu,Bantar Kuning
343,Jawa Barat,78,Kabupaten Bogor,Cariu,Cariu
344,Jawa Barat,78,Kabupaten Bogor,Cariu,Cibatu Tiga
345,Jawa Barat,78,Kabupaten Bogor,Cariu,Cikutamahi
346,Jawa Barat,78,Kabupaten Bogor,Cariu,Karya Mekar
347,Jawa Barat,78,Kabupaten Bogor,Cariu,Kuta Mekar
348,Jawa Barat,78,Kabupaten Bogor,Cariu,Mekarwangi
349,Jawa Barat,78,Kabupaten Bogor,Cariu,Sukajadi
350,Jawa Barat,78,Kabupaten Bogor,Cariu,Tegal Panjang
351,Jawa Barat,78,Kabupaten Bogor,Ciampea,Bojong Jengkol
352,Jawa Barat,78,Kabupaten Bogor,Ciampea,Bojong Rangkas
353,Jawa Barat,78,Kabupaten Bogor,Ciampea,Benteng
354,Jawa Barat,78,Kabupaten Bogor,Ciampea,Ciampea
355,Jawa Barat,78,Kabupaten Bogor,Ciampea,Ciampea Udik
356,Jawa Barat,78,Kabupaten Bogor,Ciampea,Cibadak
357,Jawa Barat,78,Kabupaten Bogor,Ciampea,Cibanteng
358,Jawa Barat,78,Kabupaten Bogor,Ciampea,Cibuntu
359,Jawa Barat,78,Kabupaten Bogor,Ciampea,Cicadas
360,Jawa Barat,78,Kabupaten Bogor,Ciampea,Cihideung Ilir
361,Jawa Barat,78,Kabupaten Bogor,Ciampea,Cihideung Udik
362,Jawa Barat,78,Kabupaten Bogor,Ciampea,Cinangka
363,Jawa Barat,78,Kabupaten Bogor,Ciampea,Tegal Waru
364,Jawa Barat,78,Kabupaten Bogor,Ciawi,Banjar Sari
365,Jawa Barat,78,Kabupaten Bogor,Ciawi,Banjar Wangi
366,Jawa Barat,78,Kabupaten Bogor,Ciawi,Banjar Waru
367,Jawa Barat,78,Kabupaten Bogor,Ciawi,Bendungan
368,Jawa Barat,78,Kabupaten Bogor,Ciawi,Bitung Sari
369,Jawa Barat,78,Kabupaten Bogor,Ciawi,Bojong Murni
370,Jawa Barat,78,Kabupaten Bogor,Ciawi,Ciawi
371,Jawa Barat,78,Kabupaten Bogor,Ciawi,Cibedug
372,Jawa Barat,78,Kabupaten Bogor,Ciawi,Cileungsi
373,Jawa Barat,78,Kabupaten Bogor,Ciawi,Citapen
